entity_from,relationship_type,relationship_sub_type,entity_to
Quantum Investments Pte Ltd,Subsidiary,75% Owned,Pacific Media Pt (HK)
Quantum Tech SARL,Ownership,Minor,Synergy Properties International
Stellar Digital PLC,Director,CFO,Omega Manufacturing LLC
Vertex Manufacturing Berhad,Ownership,Significant,Crest Investments Ltd
Gamma Ventures Pte Ltd,Director,Independent Director,Vantage Pay Co. (SG)
Horizon Digital Limited,Subsidiary,85% Owned,Titan Tech International
Vertex Solutions LLC,Subsidiary,51% Owned,Omega Infra Corp
Gamma Solutions Pte Ltd,Subsidiary,75% Owned,Catalyst Media Co. (SG)
Zenith Partners Enterprises,Ownership,Direct,Vertex Resources PLC
Pacific Systems GmbH,Ownership,Controlling,Global Partners LLC
Crest Resources Enterprises,Ownership,Controlling,Apex Health Berhad
Atlas Resources Limited,Investor,Venture Capital,Nova Pay Pte Ltd
Nova Pay International,Subsidiary,100% Owned,Victory Group SARL
Vertex Health Sdn Bhd,Ownership,Major,Vertex Digital Berhad
Sigma Solutions Co.,Shareholder,Institutional,Synergy Investments LLC
Alpha Media Pte Ltd,Ownership,Controlling,Pinnacle Systems Enterprises (KY)
Sigma Solutions Inc,Director,Chairman,Global Energy GmbH
Stellar Properties Co Ltd,Ownership,Major,Zenith Capital Pte Ltd
Synergy Finance Co Ltd,Ownership,Minor,Omega Ventures Ltd
Nova Tech Ltd,Shareholder,Institutional,Crest Resources Berhad
Vantage Resources Enterprises,Ownership,Indirect,Orion Partners LLC
Asia Partners Enterprises,Subsidiary,60% Owned,Nexus Ventures PLC (ID)
Orion Infra PLC,Ownership,Indirect,Orion Capital Pt (SG)
Pacific Group Corp,Ownership,Significant,Pacific Manufacturing Enterprises
Quantum Resources Berhad,Director,CEO,Gamma Tech Sdn Bhd (TH)
Titan Systems Corp,Subsidiary,51% Owned,Asia Solutions Enterprises (SG)
Sigma Capital Inc,Ownership,Controlling,Beta Tech GmbH
Catalyst Partners SARL,Ownership,Major,Apex Systems Limited
Titan Digital Corp,Ownership,Significant,Sigma Manufacturing BV
Vantage Partners BV,Ownership,Significant,Atlas Investments International
Omega Solutions Enterprises,Shareholder,Major,Victory Properties Inc
Stellar Digital Berhad,Ownership,Indirect,Crest Media Inc
Sigma Investments Pte Ltd,Shareholder,Institutional,Victory Solutions Pt (MY)
Delta Investments Co Ltd,Ownership,Minor,Titan Finance Co Ltd
Delta Pay Limited,Subsidiary,75% Owned,Omega Group Ltd
Crest Resources International,Subsidiary,100% Owned,Victory Solutions Co.
Crest Capital PLC,Subsidiary,85% Owned,Beta Assets Pt
Stellar Logistics Pt,Subsidiary,100% Owned,Orion Solutions Co Ltd
Apex Systems Berhad,Ownership,Controlling,Summit Finance BV
Orion Finance Pte Ltd,Investor,Series C,Delta Investments BV
Synergy Capital Limited,Investor,Series B,Beta Capital Pt (ID)
Beta Infra Ltd,Subsidiary,51% Owned,Apex Digital International
Elite Energy Berhad,Investor,Series C,Alpha Health Inc
Pinnacle Holdings Co Ltd,Subsidiary,51% Owned,Delta Finance Co.
Prime Capital Berhad,Ownership,Controlling,Synergy Tech GmbH
Nexus Properties PLC,Investor,Series C,Prime Energy GmbH
Quantum Group GmbH,Director,Independent Director,Sigma Tech GmbH
Prime Capital Limited,Director,Independent Director,Pacific Assets GmbH
Fusion Energy Corp,Shareholder,Institutional,Catalyst Manufacturing BV (ID)
Orion Group Berhad,Subsidiary,100% Owned,Apex Systems LLC
Nexus Solutions SARL,Ownership,Direct,Fusion Digital Enterprises (MY)
Summit Manufacturing SARL,Ownership,Controlling,Vantage Ventures Corp (SG)
Pinnacle Logistics LLC,Ownership,Significant,Catalyst Group Corp (ID)
Omega Tech GmbH,Ownership,Controlling,Nova Systems Enterprises
Alpha Systems SARL,Ownership,Significant,Prime Holdings SARL
Delta Infra International,Director,CFO,Prime Partners Co Ltd (SG)
Summit Ventures Pte Ltd,Ownership,Indirect,Nova Solutions Pt (KY)
Prime Capital Corp,Ownership,Direct,Orion Systems Pt
Horizon Solutions SARL,Ownership,Major,Zenith Partners International
Beta Health Co.,Subsidiary,100% Owned,Global Digital Ltd (KY)
Summit Health Enterprises,Ownership,Major,Vertex Holdings Berhad
Atlas Resources LLC,Shareholder,Major,Zenith Ecommerce Limited
Horizon Solutions Pte Ltd,Shareholder,Minor,Summit Pay PLC (HK)
Stellar Ventures Pte Ltd,Subsidiary,60% Owned,Apex Systems Inc
Stellar Systems Pt,Ownership,Minor,Atlas Media Pt (SG)
Elite Finance Inc,Subsidiary,90% Owned,Fusion Health Corp (TH)
Alpha Media Limited,Subsidiary,90% Owned,Alpha Investments GmbH
Pinnacle Logistics Berhad,Ownership,Major,Gamma Health Pte Ltd (ID)
Crest Ventures BV,Ownership,Minor,Quantum Media Limited
Sigma Properties GmbH,Shareholder,Institutional,Elite Ecommerce Corp
Titan Resources Sdn Bhd,Ownership,Significant,Nexus Health Corp
Victory Ecommerce Co.,Subsidiary,60% Owned,Apex Solutions Ltd
Prime Finance Enterprises,Subsidiary,60% Owned,Synergy Manufacturing PLC
Alpha Group Corp,Ownership,Direct,Titan Manufacturing LLC
Gamma Ecommerce Berhad,Subsidiary,100% Owned,Catalyst Capital GmbH
Gamma Capital Co Ltd,Ownership,Controlling,Fusion Manufacturing Limited
Catalyst Properties Ltd,Ownership,Major,Pinnacle Energy SARL
Elite Finance BV,Ownership,Direct,Crest Ventures Inc
Global Group Co.,Shareholder,Minor,Nova Digital Berhad (HK)
Pinnacle Media Sdn Bhd,Ownership,Indirect,Prime Resources Enterprises
Apex Partners SARL,Shareholder,Major,Quantum Systems BV
Fusion Logistics Sdn Bhd,Ownership,Minor,Pacific Resources GmbH
Fusion Partners Pte Ltd,Investor,Series A,Stellar Infra Co Ltd
Nexus Logistics Pt,Shareholder,Minor,Vantage Logistics Corp
Orion Holdings Inc,Ownership,Significant,Beta Health International (MY)
Vantage Resources SARL,Subsidiary,90% Owned,Vertex Resources Sdn Bhd
Atlas Pay International,Subsidiary,51% Owned,Summit Assets BV
Pinnacle Infra Co Ltd,Ownership,Controlling,Synergy Manufacturing SARL
Crest Infra LLC,Ownership,Major,Global Infra Limited
Vertex Systems Inc,Ownership,Major,Asia Resources LLC
Nova Assets BV,Ownership,Direct,Nova Capital Pte Ltd (BVI)
Atlas Energy International,Ownership,Significant,Pacific Resources BV
Gamma Ventures Pte Ltd,Ownership,Significant,Orion Properties SARL
Titan Manufacturing Enterprises,Investor,Angel,Pacific Pay Inc
Horizon Resources Co.,Subsidiary,90% Owned,Catalyst Investments Pt (ID)
Quantum Ecommerce International,Subsidiary,85% Owned,Apex Systems Corp
Global Ventures Limited,Director,CEO,Zenith Assets SARL (SG)
Summit Properties Corp,Ownership,Controlling,Omega Partners Co. (TH)
Elite Systems BV,Director,Executive Director,Global Finance Berhad (TH)
Omega Properties LLC,Ownership,Direct,Crest Health International
Victory Resources BV,Ownership,Major,Gamma Partners Corp
Synergy Manufacturing SARL,Ownership,Indirect,Vantage Assets Enterprises
Horizon Investments BV,Ownership,Minor,Sigma Digital LLC
Pinnacle Infra LLC,Subsidiary,60% Owned,Orion Resources GmbH
Titan Properties GmbH,Ownership,Minor,Zenith Tech Limited (KY)
Nexus Solutions Limited,Ownership,Major,Delta Infra LLC
Beta Infra BV,Shareholder,Minor,Catalyst Group LLC (BVI)
Beta Partners GmbH,Ownership,Controlling,Asia Assets Co.
Asia Solutions Ltd,Ownership,Minor,Catalyst Capital GmbH
Titan Media LLC,Ownership,Indirect,Beta Investments BV
Omega Finance Ltd,Subsidiary,60% Owned,Omega Ecommerce International
Alpha Health LLC,Ownership,Indirect,Pacific Manufacturing Inc (HK)
Prime Infra LLC,Ownership,Minor,Delta Infra Ltd (HK)
Sigma Logistics LLC,Subsidiary,75% Owned,Apex Tech SARL
Omega Health Sdn Bhd,Ownership,Indirect,Vantage Tech LLC (HK)
Gamma Pay Berhad,Ownership,Indirect,Gamma Assets Ltd
Vertex Media SARL,Subsidiary,100% Owned,Zenith Ventures PLC
Synergy Assets Corp,Ownership,Indirect,Orion Properties Pt
Quantum Resources BV,Director,Non-Executive,Elite Logistics Pt (HK)
Delta Tech PLC,Director,CTO,Nexus Infra SARL
Alpha Logistics Limited,Ownership,Direct,Beta Capital Enterprises
Zenith Infra Sdn Bhd,Ownership,Significant,Quantum Finance Enterprises (KY)
Asia Systems PLC,Ownership,Significant,Fusion Resources Sdn Bhd
Nexus Logistics Inc,Ownership,Minor,Synergy Assets Sdn Bhd
Fusion Ecommerce SARL,Subsidiary,100% Owned,Victory Ventures Berhad (BVI)
Victory Tech Pt,Ownership,Significant,Elite Systems Berhad
Crest Ventures BV,Ownership,Direct,Zenith Assets Co.
Nova Manufacturing Pt,Ownership,Minor,Fusion Ventures PLC
Pinnacle Solutions BV,Ownership,Significant,Beta Holdings Inc (MY)
Apex Ecommerce Inc,Investor,Private Equity,Vertex Ventures GmbH (TH)
Nova Ecommerce Berhad,Subsidiary,75% Owned,Asia Finance Pte Ltd
Fusion Manufacturing PLC,Ownership,Direct,Delta Ecommerce Enterprises
Fusion Solutions Limited,Director,CEO,Catalyst Pay Pt (HK)
Gamma Digital Sdn Bhd,Ownership,Significant,Sigma Pay GmbH
Horizon Assets Co.,Ownership,Direct,Victory Systems Sdn Bhd
Gamma Energy GmbH,Subsidiary,60% Owned,Horizon Assets BV
Omega Holdings GmbH,Subsidiary,100% Owned,Pinnacle Logistics Berhad
Titan Ventures Ltd,Ownership,Major,Horizon Partners International
Gamma Tech International,Shareholder,Major,Pacific Properties Pt
Sigma Assets Co.,Ownership,Indirect,Vertex Pay Ltd
Elite Holdings Co.,Subsidiary,75% Owned,Summit Holdings Inc (TH)
Pinnacle Group Berhad,Ownership,Significant,Global Digital Pt
Crest Infra Enterprises,Shareholder,Major,Zenith Ventures SARL
Global Finance Limited,Ownership,Major,Catalyst Logistics SARL
Delta Solutions LLC,Shareholder,Institutional,Alpha Tech Co. (BVI)
Elite Holdings Limited,Subsidiary,100% Owned,Stellar Tech Limited
Omega Tech SARL,Director,CTO,Asia Energy Limited
Quantum Capital Pte Ltd,Director,Non-Executive,Elite Manufacturing Pt (HK)
Zenith Properties LLC,Ownership,Minor,Beta Pay SARL (KY)
Delta Group International,Subsidiary,51% Owned,Catalyst Tech PLC
Delta Assets SARL,Ownership,Significant,Fusion Media Pte Ltd (TH)
Synergy Logistics Berhad,Subsidiary,51% Owned,Orion Solutions Pte Ltd (ID)
Delta Assets BV,Ownership,Controlling,Quantum Energy Ltd (HK)
Summit Manufacturing Inc,Subsidiary,60% Owned,Quantum Finance Corp
Prime Capital Ltd,Investor,Private Equity,Vantage Solutions Co Ltd
Beta Resources International,Subsidiary,100% Owned,Zenith Energy LLC (TH)
Nexus Logistics Ltd,Ownership,Minor,Summit Investments BV
Synergy Properties Co Ltd,Subsidiary,75% Owned,Atlas Finance Inc
Vertex Resources Ltd,Subsidiary,85% Owned,Crest Infra Pte Ltd
Global Infra LLC,Shareholder,Major,Stellar Energy Pt
Pinnacle Media Sdn Bhd,Ownership,Indirect,Catalyst Manufacturing Corp
Gamma Digital PLC,Subsidiary,90% Owned,Asia Group PLC (KY)
Pacific Media GmbH,Ownership,Minor,Synergy Properties Co. (HK)
Prime Ecommerce LLC,Director,CEO,Orion Investments Enterprises
Stellar Group GmbH,Shareholder,Major,Prime Group Co.
Asia Finance Berhad,Subsidiary,51% Owned,Pacific Manufacturing Ltd
Delta Properties Sdn Bhd,Ownership,Minor,Vertex Ecommerce Sdn Bhd
Vertex Infra Inc,Ownership,Indirect,Catalyst Logistics Pte Ltd
Vantage Health Co.,Subsidiary,85% Owned,Beta Partners Ltd
Vertex Media Pt,Ownership,Major,Summit Investments Pte Ltd (BVI)
Omega Ventures SARL,Ownership,Significant,Nexus Ventures Pte Ltd (KY)
Orion Tech PLC,Subsidiary,51% Owned,Delta Partners PLC
Pinnacle Partners Inc,Ownership,Controlling,Summit Pay GmbH
Pinnacle Logistics Inc,Subsidiary,75% Owned,Synergy Finance Ltd (KY)
Titan Investments SARL,Shareholder,Major,Fusion Assets Berhad (SG)
Synergy Finance GmbH,Subsidiary,51% Owned,Pacific Logistics Inc (HK)
Pacific Digital SARL,Ownership,Major,Beta Resources Limited
Nexus Resources International,Ownership,Minor,Prime Infra Ltd
Catalyst Energy Pte Ltd,Ownership,Major,Nexus Group Berhad
Nova Finance Ltd,Ownership,Minor,Omega Systems Limited (SG)
Atlas Assets LLC,Subsidiary,90% Owned,Orion Manufacturing Limited
Pacific Manufacturing Co Ltd,Subsidiary,90% Owned,Beta Ventures Ltd
Summit Finance BV,Director,CTO,Horizon Ecommerce Limited
Vantage Health Enterprises,Ownership,Direct,Global Solutions Co Ltd
Pinnacle Group Enterprises,Ownership,Indirect,Victory Health Pte Ltd
Summit Energy Pt,Subsidiary,60% Owned,Synergy Logistics Berhad
Synergy Media GmbH,Ownership,Minor,Pinnacle Holdings Limited
Horizon Energy Berhad,Ownership,Minor,Omega Digital Sdn Bhd
Atlas Investments Co Ltd,Ownership,Significant,Titan Energy Pte Ltd
Synergy Investments Pte Ltd,Subsidiary,90% Owned,Gamma Logistics LLC
Synergy Systems PLC,Ownership,Minor,Global Digital Sdn Bhd (TH)
Zenith Energy Corp,Director,CFO,Delta Health GmbH
Asia Systems BV,Ownership,Major,Fusion Digital Berhad
Fusion Media PLC,Director,CTO,Prime Tech International
Victory Investments SARL,Ownership,Significant,Titan Holdings Pte Ltd
Orion Manufacturing Pte Ltd,Shareholder,Institutional,Nova Ventures Inc
Nexus Infra SARL,Ownership,Direct,Vertex Health Corp
Vantage Health International,Investor,Series A,Beta Systems Limited
Titan Resources Berhad,Ownership,Minor,Omega Digital Co.
Orion Solutions Enterprises,Ownership,Significant,Catalyst Ventures Co Ltd
